Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Sam Thomas,18,2.83,3,47,Engineering,Sophomore
Vihaan Miller,14,3.47,0,51,Construction,Sophomore
Manny Garcia,15,3.44,2,28,Early College,Freshman
Joe Smith,18,2.14,2,21,Culinary,Senior
Sujay Anderson,15,3.73,2,9,Early College,Freshman
Josh Smith,19,1.48,2,23,Bio Med,Senior
Josh Hernandez,14,1.45,3,3,Criminal Justice,Sophomore
Gavin Moore,15,2.12,2,45,Marketing,Senior
Manny Garcia,14,0.75,1,34,Business,Junior
Sujay Johnson,17,0.84,0,13,Construction,Senior
Azria Martinez,16,0.68,1,12,Engineering,Freshman
Joe Jackson,19,3.46,3,38,Early Childhood Education,Freshman
Dutch Jackson,17,2.56,3,58,Marketing,Sophomore
Cal Martinez,14,3.35,1,54,Engineering,Sophomore
Abby Johnson,17,0.46,0,13,Business,Sophomore
Cal Lopez,16,1.53,2,18,Computer Science,Freshman
Joe Jones,16,0.4,2,8,Criminal Justice,Senior
Manny Johnson,18,3.48,0,22,Bio Med,Junior
Josh Jackson,15,3.84,1,12,Business,Junior
Josh Wilson,18,3.19,0,7,Early Childhood Education,Senior
Abby Gonzalez,18,1.4,2,17,Culinary,Senior
Kelsey Williams,15,1.53,1,3,Culinary,Freshman
Avery Miller,16,2.63,0,2,Bio Med,Sophomore
Dutch Martin,17,2.86,3,7,Criminal Justice,Junior
Azria Lopez,16,2.97,3,27,Early Childhood Education,Junior
Joe Johnson,18,1.09,3,2,Marketing,Junior
Sam Davis,18,0.92,1,0,Culinary,Senior
Cal Martin,15,2.79,3,21,Construction,Junior
Azria Thomas,19,2.12,1,0,Early Childhood Education,Junior
Gavin Thomas,18,1.89,0,51,Engineering,Junior
Manny Taylor,15,4.05,2,23,Engineering,Sophomore
Sujay Rodriguez,15,3.79,3,8,Marketing,Sophomore
Vihaan Johnson,19,1.03,0,28,Computer Science,Senior
Azria Taylor,15,0.68,3,26,Bio Med,Senior
Emm Martin,18,1.33,1,55,Engineering,Freshman
Abby Taylor,15,0.76,0,51,Culinary,Sophomore
Alice Jones,14,0.35,2,2,Culinary,Sophomore
Nate Gonzalez,15,3.07,1,4,Early Childhood Education,Junior
Nate Lopez,16,3.25,3,18,Criminal Justice,Junior
Emm Martinez,14,2.1,1,18,Early College,Freshman
Dutch Wilson,14,1.73,0,44,Early College,Junior
Cal Davis,15,1.74,0,35,Bio Med,Senior
Cal Moore,18,1.22,3,32,Engineering,Senior
Cal Jones,17,0.5,3,57,Construction,Senior
Nate Williams,16,0.44,0,20,Early College,Freshman
Manny Rodriguez,19,2.34,1,5,Engineering,Sophomore
Nate Moore,19,2.16,3,12,Business,Freshman
Vihaan Gonzalez,19,1.6,3,47,Construction,Senior
Emm Davis,14,4.1,1,41,Bio Med,Senior
Cal Jackson,15,0.84,2,56,Engineering,Junior
Dutch Jackson,16,3.22,0,0,Criminal Justice,Senior
Nate Williams,15,1.97,2,19,Computer Science,Senior
Vihaan Smith,17,3.53,2,11,Computer Science,Senior
Alice Williams,16,2.39,0,56,Culinary,Senior
Emm Davis,19,0.65,0,59,Construction,Junior
Gavin Garcia,17,1.33,0,47,Early Childhood Education,Sophomore
Gavin Lopez,17,4.22,2,49,Culinary,Sophomore
Sujay Anderson,16,2.98,3,57,Marketing,Junior
Cal Gonzalez,14,0.85,0,59,Engineering,Senior
Avery Martin,19,3.41,2,4,Culinary,Freshman
Abby Hernandez,18,2.87,0,27,Computer Science,Freshman
Dutch Rodriguez,19,4.34,0,57,Computer Science,Senior
Alice Moore,16,3.25,3,7,Early College,Junior
Gavin Thomas,17,2.12,3,34,Bio Med,Senior
Sam Rodriguez,19,0.46,3,19,Culinary,Junior
Avery Wilson,16,3.22,2,27,Criminal Justice,Senior
Emm Lopez,18,3.98,1,52,Criminal Justice,Junior
Emm Davis,16,2.4,0,50,Criminal Justice,Freshman
Gavin Thomas,18,0.58,3,55,Criminal Justice,Senior
Kelsey Lopez,16,0.33,3,55,Bio Med,Sophomore
Joe Smith,18,4.32,2,40,Marketing,Freshman
Abby Jackson,18,0.32,3,45,Business,Sophomore
Manny Taylor,16,2.74,0,6,Early Childhood Education,Senior
Nate Gonzalez,16,2.45,3,40,Computer Science,Junior
Azria Martin,18,3.13,3,35,Criminal Justice,Senior
Nate Thomas,16,2.54,3,35,Construction,Junior
Vihaan Johnson,17,1.07,0,27,Computer Science,Senior
Vihaan Miller,14,1.61,3,59,Construction,Sophomore
Nate Martinez,14,2.87,3,44,Marketing,Sophomore
Josh Davis,17,1.62,3,14,Bio Med,Freshman
Alice Rodriguez,17,2.01,1,3,Early College,Freshman
Cal Davis,15,1.52,2,49,Marketing,Freshman
Josh Martinez,18,1.75,3,45,Culinary,Senior
Emm Lopez,18,0.35,0,57,Early Childhood Education,Senior
Avery Moore,18,4.08,1,51,Business,Junior
Gavin Martinez,14,0.63,3,11,Criminal Justice,Freshman
Alice Thomas,19,2.3,3,48,Engineering,Freshman
Abby Williams,17,3.1,1,49,Business,Junior
Joe Rodriguez,17,2.7,0,8,Construction,Freshman
Azria Davis,15,1.22,3,52,Early College,Sophomore
Emm Jones,14,1.59,0,18,Early College,Freshman
Manny Davis,17,3.01,1,33,Early College,Freshman
Sujay Jackson,16,1.23,1,47,Early Childhood Education,Senior
Azria Thomas,14,1.09,2,10,Marketing,Freshman
Alice Davis,14,0.33,3,52,Construction,Junior
Sujay Smith,16,4.28,2,56,Culinary,Junior
Kelsey Lopez,19,3.54,0,19,Bio Med,Freshman
Josh Hernandez,19,4.1,1,32,Business,Freshman
Abby Thomas,15,1.78,2,10,Criminal Justice,Sophomore
Manny Rodriguez,18,1.75,2,42,Marketing,Freshman
Sujay Martinez,18,4.22,2,26,Engineering,Freshman
Sujay Rodriguez,15,2.95,1,16,Business,Freshman
Abby Smith,16,2.32,2,45,Construction,Freshman
Manny Davis,16,3.88,3,44,Criminal Justice,Sophomore
Sujay Jackson,17,0.47,2,52,Criminal Justice,Senior
Sujay Johnson,19,0.33,3,50,Bio Med,Junior
Avery Martin,17,1.54,2,12,Marketing,Senior
Emm Gonzalez,15,1.99,0,32,Early College,Senior
Alice Johnson,14,0.43,1,60,Marketing,Junior
Vihaan Rodriguez,15,2.97,2,33,Criminal Justice,Senior
Kelsey Garcia,17,3.16,2,45,Early College,Freshman
Emm Anderson,17,1.48,3,26,Bio Med,Senior
Nate Jones,15,4.18,0,37,Criminal Justice,Sophomore
Dutch Garcia,16,2.16,0,14,Early College,Freshman
Abby Moore,16,1.98,3,32,Culinary,Senior
Kelsey Jackson,14,0.83,3,5,Business,Freshman
Emm Rodriguez,18,4.01,3,17,Engineering,Senior
Gavin Moore,16,4.06,3,39,Early Childhood Education,Senior
Azria Garcia,19,3.89,2,28,Computer Science,Junior
Josh Garcia,18,1.28,3,20,Construction,Sophomore
Emm Hernandez,15,3.06,2,19,Culinary,Senior
Kelsey Williams,17,1.53,2,8,Early Childhood Education,Freshman
Cal Garcia,14,3.59,0,19,Construction,Senior
Joe Thomas,16,3.3,2,59,Marketing,Junior
Azria Moore,15,3.19,0,30,Marketing,Junior
Gavin Miller,14,3.13,0,33,Early Childhood Education,Sophomore
Gavin Gonzalez,19,3.64,3,4,Construction,Senior
Emm Taylor,17,2.0,2,46,Construction,Freshman
Abby Williams,14,4.27,3,60,Culinary,Junior
Alice Hernandez,14,3.66,1,4,Culinary,Junior
Dutch Davis,17,1.87,3,27,Engineering,Junior
Josh Jackson,16,0.92,2,35,Criminal Justice,Sophomore
Vihaan Moore,15,3.36,3,4,Computer Science,Freshman
Emm Miller,15,0.9,1,7,Culinary,Junior
Josh Jones,19,0.95,2,54,Business,Freshman
Sam Garcia,15,3.64,3,42,Early College,Senior
Vihaan Taylor,16,0.35,3,37,Marketing,Freshman
Kelsey Moore,19,0.7,2,35,Construction,Sophomore
Sujay Thomas,19,1.35,0,52,Early Childhood Education,Senior
Josh Martin,15,3.12,0,26,Culinary,Sophomore
Gavin Davis,19,1.09,3,21,Early Childhood Education,Senior
Avery Anderson,16,0.77,2,1,Early College,Junior
Nate Moore,15,0.65,3,41,Early College,Freshman
Sam Lopez,15,0.37,2,7,Engineering,Senior
Josh Lopez,19,2.79,0,54,Early College,Sophomore
Emm Martin,17,3.77,3,59,Criminal Justice,Freshman
Josh Hernandez,16,2.28,3,1,Construction,Junior
Joe Anderson,15,3.64,2,20,Criminal Justice,Sophomore
Manny Jackson,15,2.83,1,7,Business,Freshman
Joe Thomas,19,3.57,3,34,Early College,Senior
Abby Rodriguez,16,1.05,0,16,Culinary,Sophomore
Dutch Hernandez,19,2.54,1,10,Early College,Senior
Emm Davis,17,3.72,3,43,Business,Junior
Vihaan Davis,18,3.92,0,34,Computer Science,Senior
Vihaan Thomas,16,3.4,3,22,Construction,Senior
Nate Davis,14,1.81,2,36,Business,Sophomore
Josh Miller,14,3.53,1,51,Computer Science,Freshman
Kelsey Gonzalez,14,3.71,3,46,Culinary,Junior
Cal Jackson,15,3.48,0,20,Construction,Freshman
Manny Rodriguez,19,3.31,0,9,Business,Freshman
Joe Miller,17,0.61,3,57,Early Childhood Education,Junior
Vihaan Williams,19,1.9,1,49,Early Childhood Education,Junior
Joe Anderson,15,3.51,3,44,Business,Freshman
Nate Jones,15,4.25,1,20,Engineering,Junior
Nate Martinez,19,3.03,3,22,Marketing,Junior
Vihaan Jackson,19,1.49,3,13,Construction,Junior
Sam Taylor,19,2.14,2,46,Early Childhood Education,Senior
Dutch Garcia,19,2.4,1,34,Business,Sophomore
Sujay Hernandez,18,0.67,3,20,Business,Sophomore
Manny Smith,19,1.73,3,40,Computer Science,Senior
Sam Williams,18,4.38,3,57,Early College,Sophomore
Kelsey Jackson,15,1.02,0,31,Engineering,Senior
Josh Smith,19,3.32,3,19,Construction,Senior
Cal Wilson,19,0.71,1,37,Construction,Freshman
Josh Gonzalez,19,3.57,3,47,Computer Science,Freshman
Sam Wilson,15,1.27,3,0,Early College,Junior
Dutch Brown,15,2.99,1,42,Marketing,Junior
Cal Jackson,15,4.01,3,34,Marketing,Senior
Cal Martin,17,3.33,1,29,Criminal Justice,Junior
Josh Taylor,17,0.56,3,39,Marketing,Sophomore
Cal Brown,15,0.86,3,44,Early College,Junior
Manny Brown,17,3.04,2,52,Early College,Junior
Sujay Hernandez,15,3.84,0,22,Early Childhood Education,Freshman
Emm Martin,16,0.87,3,25,Engineering,Senior
Cal Taylor,14,0.95,3,50,Early College,Freshman
Sam Hernandez,17,1.6,0,43,Criminal Justice,Senior
Vihaan Garcia,18,0.69,3,29,Early Childhood Education,Sophomore
Kelsey Lopez,17,3.94,1,39,Marketing,Senior
Cal Martin,19,1.39,0,5,Early Childhood Education,Senior
Vihaan Smith,18,4.28,2,23,Early Childhood Education,Sophomore
Nate Thomas,17,4.1,3,50,Engineering,Freshman
Kelsey Hernandez,19,1.84,1,1,Early College,Junior
Cal Johnson,19,0.84,2,21,Engineering,Junior
Abby Johnson,14,0.54,2,14,Early College,Junior
Vihaan Martin,15,0.99,0,36,Bio Med,Senior
Kelsey Gonzalez,17,1.75,2,59,Business,Sophomore
Vihaan Brown,17,2.22,1,56,Business,Junior
Manny Martin,19,0.37,3,43,Criminal Justice,Junior
Alice Johnson,19,4.1,3,34,Construction,Junior
Sujay Hernandez,17,2.14,2,26,Early Childhood Education,Junior
Kelsey Williams,19,1.61,2,58,Early College,Freshman
Azria Martin,16,0.55,2,51,Construction,Sophomore
Vihaan Rodriguez,17,2.75,2,41,Computer Science,Sophomore
Abby Lopez,17,3.17,2,27,Early College,Senior
Azria Smith,19,0.47,1,15,Marketing,Sophomore
Manny Rodriguez,16,0.97,3,6,Business,Sophomore
Nate Davis,18,1.27,2,14,Bio Med,Sophomore
Azria Anderson,16,4.34,1,32,Bio Med,Sophomore
Nate Thomas,16,0.96,3,17,Computer Science,Senior
Avery Johnson,14,3.75,1,12,Engineering,Senior
Manny Jackson,14,3.85,2,27,Criminal Justice,Junior
Joe Moore,14,0.43,3,8,Business,Sophomore
Josh Johnson,15,3.92,2,36,Construction,Junior
Sam Thomas,19,3.38,1,57,Marketing,Sophomore
Cal Brown,18,2.46,3,23,Bio Med,Sophomore
Joe Gonzalez,18,3.55,2,41,Engineering,Freshman
Kelsey Thomas,16,2.7,1,24,Marketing,Junior
Azria Rodriguez,14,1.62,2,42,Business,Junior
Vihaan Thomas,17,1.9,0,51,Engineering,Senior
Dutch Martin,17,2.3,0,2,Culinary,Sophomore
Gavin Williams,15,2.99,2,21,Construction,Senior
Avery Williams,17,0.87,3,55,Culinary,Freshman
Joe Moore,19,4.26,3,2,Criminal Justice,Senior
Joe Martinez,16,4.08,2,12,Culinary,Freshman
Gavin Williams,17,0.7,2,1,Criminal Justice,Junior
Gavin Taylor,17,2.85,0,23,Engineering,Senior
Vihaan Lopez,16,0.66,2,16,Marketing,Sophomore
Dutch Williams,15,0.6,3,4,Engineering,Sophomore
Azria Jones,15,1.84,2,8,Engineering,Sophomore
Gavin Miller,19,0.86,2,56,Early College,Sophomore
Sam Rodriguez,18,0.61,1,4,Computer Science,Senior
Abby Taylor,15,4.06,3,8,Marketing,Junior
Alice Hernandez,16,3.56,3,26,Marketing,Freshman
Dutch Martin,15,4.29,2,5,Criminal Justice,Sophomore
Azria Martinez,19,3.07,3,6,Early Childhood Education,Senior
Abby Johnson,17,4.18,2,33,Marketing,Sophomore
Vihaan Williams,15,3.94,1,12,Engineering,Sophomore
Azria Jones,17,0.34,2,40,Bio Med,Senior
Avery Martin,16,0.32,2,17,Early Childhood Education,Senior
Azria Johnson,18,4.36,0,7,Early College,Freshman
Avery Davis,17,2.56,2,7,Culinary,Senior
Abby Williams,14,0.93,1,2,Criminal Justice,Junior
Dutch Wilson,17,3.19,1,19,Construction,Freshman
Manny Anderson,16,2.74,1,14,Computer Science,Senior
Gavin Smith,14,3.23,3,11,Culinary,Senior
Sam Johnson,14,2.84,1,60,Construction,Junior
Sujay Smith,17,1.55,3,1,Computer Science,Senior
Kelsey Gonzalez,16,1.7,1,7,Computer Science,Freshman
Kelsey Rodriguez,15,2.81,0,8,Criminal Justice,Senior
Azria Thomas,14,1.76,0,0,Criminal Justice,Junior
Azria Smith,18,1.18,1,0,Early College,Freshman
Abby Jackson,16,2.16,3,48,Criminal Justice,Sophomore
Cal Anderson,17,2.56,1,15,Computer Science,Freshman
Avery Davis,19,1.05,2,5,Computer Science,Freshman
Josh Williams,18,2.32,1,57,Computer Science,Sophomore
Manny Martinez,19,1.11,2,46,Bio Med,Freshman
Alice Brown,16,1.33,1,26,Business,Freshman
Alice Smith,14,1.72,1,58,Early Childhood Education,Sophomore
Cal Jones,15,2.12,0,31,Engineering,Senior
Nate Rodriguez,17,4.39,0,12,Bio Med,Sophomore
Josh Jackson,15,3.7,0,47,Computer Science,Junior
Alice Davis,17,2.01,2,36,Business,Sophomore
Sam Jones,19,2.37,2,22,Construction,Sophomore
Alice Martinez,14,1.83,1,56,Engineering,Senior
Alice Rodriguez,18,4.33,3,7,Early Childhood Education,Sophomore
Dutch Smith,15,1.45,3,4,Engineering,Junior
Sam Anderson,17,3.79,1,5,Bio Med,Junior
Azria Garcia,17,3.79,2,7,Marketing,Junior
Sujay Taylor,15,4.35,0,57,Criminal Justice,Senior
Abby Garcia,19,2.76,1,22,Business,Senior
Dutch Johnson,15,4.36,3,41,Construction,Senior
Josh Lopez,17,3.24,1,21,Engineering,Junior
Manny Martinez,18,1.51,1,52,Early College,Senior
Sam Gonzalez,17,1.64,0,33,Computer Science,Freshman
Dutch Anderson,17,3.12,0,46,Early Childhood Education,Junior
Azria Taylor,19,0.43,1,57,Criminal Justice,Freshman
Nate Garcia,16,2.64,1,38,Marketing,Freshman
Avery Johnson,14,2.44,1,50,Criminal Justice,Junior
Alice Brown,15,4.23,2,31,Bio Med,Senior
Sam Gonzalez,15,2.88,1,7,Marketing,Sophomore
Sujay Smith,19,4.29,2,10,Computer Science,Junior
Sujay Jackson,15,1.16,1,52,Computer Science,Sophomore
Manny Gonzalez,14,2.86,1,20,Computer Science,Sophomore
Joe Martin,15,4.33,2,16,Early College,Junior
Josh Lopez,14,2.29,1,47,Bio Med,Senior
Vihaan Martin,19,2.32,1,46,Bio Med,Freshman
Josh Wilson,19,1.52,2,39,Marketing,Senior
Gavin Jackson,19,0.48,2,42,Construction,Junior
Alice Martinez,16,3.68,3,39,Construction,Sophomore
Abby Lopez,14,0.93,1,5,Computer Science,Senior
Alice Garcia,15,1.67,3,26,Early College,Sophomore
Cal Williams,15,1.88,3,56,Marketing,Senior
Joe Wilson,15,3.62,1,55,Construction,Sophomore
Cal Martinez,19,2.9,1,30,Bio Med,Sophomore
Kelsey Miller,15,2.61,2,6,Engineering,Senior
Emm Gonzalez,18,3.78,2,51,Computer Science,Sophomore
Abby Johnson,15,3.32,1,45,Culinary,Senior
Joe Moore,14,2.77,1,4,Bio Med,Freshman
Nate Johnson,14,3.34,1,12,Construction,Sophomore
Emm Hernandez,18,0.87,0,34,Marketing,Sophomore
Vihaan Brown,17,2.51,2,38,Bio Med,Sophomore
Azria Brown,18,3.42,3,17,Early Childhood Education,Junior
Josh Gonzalez,19,2.54,3,12,Early Childhood Education,Junior
Josh Anderson,16,1.27,1,34,Bio Med,Sophomore
Joe Gonzalez,14,1.17,2,57,Bio Med,Junior
Manny Moore,14,1.21,3,36,Bio Med,Senior
Josh Taylor,19,2.78,0,4,Early Childhood Education,Freshman
Kelsey Wilson,15,1.08,3,60,Early College,Freshman
Kelsey Gonzalez,16,1.85,1,54,Early College,Freshman
Vihaan Lopez,16,4.01,0,28,Culinary,Senior
Kelsey Garcia,15,0.91,2,12,Culinary,Sophomore
Sujay Jackson,15,0.81,2,55,Early Childhood Education,Senior
Sam Martin,15,2.94,2,32,Bio Med,Freshman
Manny Martinez,16,0.9,3,29,Computer Science,Sophomore
Azria Thomas,15,3.96,1,41,Construction,Freshman
Dutch Miller,14,2.08,1,36,Bio Med,Sophomore
Avery Martin,18,0.83,3,12,Marketing,Freshman
Nate Williams,16,4.24,1,2,Culinary,Senior
Azria Williams,17,4.36,3,42,Marketing,Freshman
Azria Jackson,17,0.51,1,50,Early College,Sophomore
Abby Davis,18,4.16,2,54,Criminal Justice,Freshman
Vihaan Taylor,18,0.47,3,19,Early Childhood Education,Sophomore
Gavin Miller,15,0.78,3,32,Early Childhood Education,Freshman
Nate Taylor,14,1.26,1,47,Early College,Freshman
Gavin Lopez,14,3.02,1,17,Marketing,Freshman
Cal Moore,14,0.73,3,11,Computer Science,Freshman
Josh Anderson,14,1.28,0,2,Culinary,Junior
Josh Gonzalez,16,1.3,1,43,Engineering,Junior
Abby Garcia,14,1.82,1,32,Marketing,Senior
Manny Rodriguez,14,1.84,1,56,Engineering,Senior
Josh Hernandez,17,2.73,2,26,Bio Med,Sophomore
Azria Taylor,16,3.55,3,56,Engineering,Junior
Emm Smith,19,0.66,3,51,Early College,Junior
Sam Wilson,16,1.1,0,4,Criminal Justice,Junior
Gavin Davis,15,3.28,3,58,Marketing,Sophomore
Manny Gonzalez,15,3.76,1,53,Business,Freshman
Alice Moore,14,3.54,3,57,Early Childhood Education,Senior
Alice Williams,15,4.11,3,60,Business,Senior
Sam Hernandez,14,1.08,3,27,Business,Sophomore
Emm Rodriguez,14,0.84,1,39,Criminal Justice,Senior
Sujay Smith,15,0.98,1,33,Early College,Sophomore
Kelsey Johnson,16,4.08,2,41,Early College,Senior
Sujay Jackson,17,1.3,0,56,Early Childhood Education,Freshman
Sujay Taylor,18,0.85,2,30,Construction,Senior
Kelsey Miller,19,0.67,1,48,Engineering,Senior
Sujay Wilson,18,4.37,1,53,Marketing,Junior
Emm Davis,16,2.51,1,59,Engineering,Sophomore
Josh Brown,14,2.39,2,50,Construction,Senior
Avery Brown,17,1.55,3,6,Bio Med,Freshman
Nate Johnson,18,0.48,0,28,Bio Med,Freshman
Azria Moore,16,1.21,1,16,Engineering,Junior
Kelsey Miller,15,0.61,2,51,Engineering,Sophomore
Cal Jackson,16,3.62,2,5,Early Childhood Education,Senior
Kelsey Martinez,17,3.21,1,49,Early Childhood Education,Senior
Sam Taylor,15,3.67,2,48,Engineering,Freshman
Kelsey Johnson,15,1.64,2,47,Criminal Justice,Freshman
Sam Gonzalez,18,1.4,1,27,Bio Med,Senior
Vihaan Jackson,16,1.64,3,59,Marketing,Senior
Dutch Martinez,17,1.01,3,51,Early College,Junior
Dutch Williams,16,0.45,0,43,Bio Med,Junior
Abby Moore,17,3.34,2,29,Engineering,Freshman
Kelsey Jones,19,2.19,3,46,Business,Senior
Alice Garcia,14,3.93,1,14,Culinary,Sophomore
Emm Miller,16,2.55,2,3,Culinary,Junior
Josh Johnson,15,1.63,2,27,Criminal Justice,Senior
Abby Jackson,15,1.46,1,14,Culinary,Freshman
Dutch Taylor,19,1.59,0,34,Early College,Sophomore
Cal Smith,17,2.05,2,55,Bio Med,Junior
Cal Gonzalez,19,2.48,0,45,Computer Science,Freshman
Josh Martinez,14,2.76,1,58,Early College,Senior
Joe Martin,14,4.07,3,37,Construction,Freshman
Cal Smith,18,1.46,1,12,Bio Med,Junior
Cal Garcia,14,1.49,0,37,Culinary,Freshman
Azria Lopez,17,2.22,3,24,Culinary,Sophomore
Gavin Williams,14,3.99,0,11,Bio Med,Senior
Gavin Martin,17,1.91,1,60,Early Childhood Education,Junior
Sam Miller,16,2.22,0,1,Marketing,Junior
Avery Miller,15,2.96,3,51,Construction,Sophomore
Gavin Jones,15,4.36,1,14,Construction,Freshman
Azria Lopez,14,1.2,2,27,Engineering,Junior
Avery Taylor,18,1.89,0,37,Engineering,Senior
Alice Davis,17,3.54,0,14,Criminal Justice,Sophomore
Azria Davis,15,3.76,3,1,Engineering,Junior
Manny Martinez,19,3.81,3,60,Engineering,Sophomore
Azria Davis,18,4.2,2,10,Construction,Senior
Azria Jackson,16,0.83,2,3,Early College,Sophomore
Vihaan Martin,16,2.04,2,42,Criminal Justice,Senior
Abby Wilson,18,3.27,0,40,Marketing,Freshman
Azria Hernandez,19,2.83,1,42,Marketing,Sophomore
Manny Brown,17,3.99,2,6,Culinary,Senior
Manny Martin,14,0.88,0,17,Engineering,Sophomore
Kelsey Martinez,18,0.34,3,46,Construction,Freshman
Nate Anderson,17,2.06,2,18,Marketing,Freshman
Avery Wilson,15,4.11,0,2,Business,Sophomore
Sam Williams,17,2.13,0,47,Engineering,Senior
Alice Smith,17,3.44,0,35,Bio Med,Sophomore
Joe Moore,15,4.18,2,22,Bio Med,Junior
Sujay Thomas,16,1.69,1,12,Criminal Justice,Junior
Kelsey Anderson,15,0.69,0,52,Computer Science,Senior
Josh Gonzalez,15,3.79,2,39,Construction,Senior
Manny Rodriguez,16,2.21,0,43,Bio Med,Freshman
Joe Brown,16,1.84,0,52,Marketing,Junior
Cal Smith,15,2.24,0,15,Culinary,Senior
Emm Lopez,17,1.55,2,21,Marketing,Junior
Gavin Garcia,18,2.44,0,59,Bio Med,Freshman
Sam Hernandez,14,4.22,2,33,Bio Med,Freshman
Emm Smith,17,1.57,1,43,Criminal Justice,Sophomore
Josh Taylor,14,1.86,3,46,Early College,Junior
Josh Johnson,19,0.59,1,17,Business,Sophomore
Gavin Williams,18,1.3,0,39,Engineering,Junior
Cal Davis,15,2.82,1,37,Computer Science,Junior
Manny Garcia,14,1.25,3,23,Early College,Sophomore
Sam Anderson,17,1.77,1,12,Early Childhood Education,Sophomore
Avery Anderson,18,3.15,3,42,Early Childhood Education,Sophomore
Manny Martinez,15,3.88,3,52,Culinary,Sophomore
Josh Martinez,14,2.1,2,48,Construction,Sophomore
Nate Moore,15,1.5,1,33,Culinary,Junior
Gavin Miller,17,4.34,1,26,Early College,Freshman
Gavin Rodriguez,15,1.55,3,56,Marketing,Sophomore
Sam Smith,16,2.53,1,58,Marketing,Sophomore
Kelsey Taylor,16,1.09,2,60,Marketing,Sophomore
Nate Johnson,18,2.17,2,14,Construction,Sophomore
Emm Wilson,19,2.83,3,45,Computer Science,Junior
Azria Jones,14,0.86,2,46,Early Childhood Education,Junior
Josh Johnson,17,3.73,1,40,Criminal Justice,Freshman
Abby Hernandez,17,1.1,3,16,Culinary,Freshman
Manny Wilson,15,2.55,2,57,Early Childhood Education,Senior
Cal Miller,16,1.66,3,45,Early College,Junior
Vihaan Williams,19,0.46,1,51,Bio Med,Freshman
Nate Jones,16,0.48,0,18,Early College,Freshman
Cal Jones,16,3.55,0,60,Culinary,Junior
Kelsey Gonzalez,16,1.04,1,58,Construction,Senior
Avery Anderson,16,3.78,0,39,Early Childhood Education,Junior
Alice Martin,16,1.11,2,50,Computer Science,Freshman
Vihaan Jones,15,0.66,1,13,Culinary,Senior
Nate Lopez,17,4.15,2,42,Business,Junior
Josh Smith,19,3.37,2,16,Culinary,Freshman
Abby Martinez,14,3.6,0,12,Business,Sophomore
Sam Miller,19,3.26,2,43,Construction,Senior
Vihaan Wilson,19,2.84,2,13,Computer Science,Senior
Manny Davis,16,3.04,1,30,Culinary,Freshman
Vihaan Moore,18,0.69,1,31,Criminal Justice,Senior
Emm Taylor,14,3.91,1,19,Construction,Sophomore
Josh Taylor,18,1.89,1,53,Construction,Junior
Joe Garcia,18,1.69,1,51,Culinary,Senior
Josh Williams,15,3.38,0,46,Business,Junior
Kelsey Hernandez,18,2.51,2,56,Early Childhood Education,Junior
Alice Johnson,17,2.94,1,58,Early College,Sophomore
Sam Anderson,17,2.04,3,39,Marketing,Freshman
Emm Smith,18,0.98,1,29,Early Childhood Education,Senior
Alice Moore,19,2.16,2,42,Criminal Justice,Senior
Sam Rodriguez,19,3.11,3,32,Marketing,Junior
Kelsey Lopez,17,1.46,0,32,Early Childhood Education,Sophomore
Nate Smith,16,1.64,3,38,Early College,Freshman
Sujay Moore,19,4.28,3,43,Early College,Sophomore
Sam Taylor,14,0.76,2,39,Construction,Sophomore
Abby Jones,17,1.58,2,53,Early College,Sophomore
Avery Lopez,15,2.83,1,56,Early Childhood Education,Sophomore
Kelsey Thomas,15,1.95,0,7,Early Childhood Education,Junior
Dutch Davis,19,2.67,0,26,Business,Sophomore
Kelsey Wilson,15,1.71,3,22,Business,Junior
Cal Martinez,15,2.75,2,44,Bio Med,Senior
Kelsey Smith,19,2.99,2,19,Marketing,Freshman
Joe Brown,18,3.27,3,23,Criminal Justice,Freshman
Manny Wilson,16,3.26,3,44,Culinary,Junior
Joe Brown,16,3.81,0,32,Bio Med,Junior
Dutch Hernandez,18,3.89,3,44,Early Childhood Education,Sophomore
Gavin Martin,16,2.22,1,43,Bio Med,Senior
Joe Moore,18,2.23,2,7,Criminal Justice,Senior
Azria Martinez,14,0.68,0,4,Marketing,Senior
Sam Jones,18,1.38,2,51,Criminal Justice,Junior
Alice Martinez,15,0.46,1,9,Early Childhood Education,Junior
Nate Jones,18,0.36,1,10,Business,Junior
Abby Jackson,19,3.03,2,44,Business,Senior
Kelsey Smith,16,2.85,0,25,Bio Med,Senior
Josh Martin,17,2.71,2,42,Culinary,Sophomore
Avery Jones,19,3.89,1,2,Computer Science,Freshman
Josh Davis,19,1.25,2,21,Criminal Justice,Freshman
Joe Wilson,18,1.96,3,29,Criminal Justice,Freshman
Gavin Jones,16,0.7,0,26,Bio Med,Freshman
Avery Taylor,16,1.1,3,31,Marketing,Sophomore
Nate Martin,15,0.65,2,21,Early College,Freshman
Dutch Williams,15,3.85,1,6,Business,Senior
Avery Moore,14,3.79,3,6,Criminal Justice,Junior
Joe Hernandez,19,2.01,1,56,Business,Freshman
Josh Hernandez,16,0.52,2,45,Early College,Junior
Abby Garcia,17,1.38,1,27,Early College,Freshman
Emm Wilson,17,1.21,0,44,Bio Med,Junior
Emm Jackson,18,3.18,2,57,Engineering,Senior
